Rang	Ort	Kanton	Steuersatz
442	Ennetbaden	AG	12.69
443	Mägenwil	AG	12.69
444	Niederwil (AG)	AG	12.69
445	Remigen	AG	12.69
446	Rheinfelden	AG	12.69
447	Schöftland	AG	12.69
448	Inwil	LU	12.71
449	Diepoldsau	SG	12.72
450	Heiden	AR	12.72
451	Rapperswil-Jona	SG	12.72
452	Arosa	GR	12.73
453	Chur	GR	12.73
454	Frauenfeld	TG	12.73
455	Ebikon	LU	12.74
456	Hildisrieden	LU	12.74
457	Rothenburg	LU	12.74
458	Bözberg	AG	12.75
459	Merenschwand	AG	12.75
460	Untersiggenthal	AG	12.75
461	Diessenhofen	TG	12.77
462	Domat/Ems	GR	12.79
463	San Vittore	GR	12.79
464	Zizers	GR	12.79
465	Airolo	TI	12.80
466	Blenio	TI	12.80
467	Brusino Arsizio	TI	12.80
468	Cevio	TI	12.80
469	Cugnasco-Gerra	TI	12.80
470	Curio	TI	12.80
471	Giubiasco	TI	12.80
472	Lamone	TI	12.80
473	Lavizzara	TI	12.80
474	Locarno	TI	12.80
475	Losone	TI	12.80
476	Lumino	TI	12.80
477	Monteceneri	TI	12.80
478	Neggio	TI	12.80
479	Personico	TI	12.80
480	Ponte Tresa	TI	12.80
481	Prato (Leventina)	TI	12.80
482	Sementina	TI	12.80
483	Sessa	TI	12.80
484	Tenero-Contra	TI	12.80
485	Vacallo	TI	12.80
486	Brugg	AG	12.81
487	Eggenwil	AG	12.81
488	Sarmenstorf	AG	12.81
489	Speicher	AR	12.81
490	Spreitenbach	AG	12.81
491	Stein (AR)	AR	12.81
492	Stetten (AG)	AG	12.81
493	Zofingen	AG	12.81
494	Dozwil	TG	12.82
495	Brunegg	AG	12.86
496	Frick	AG	12.86
497	Grüsch	GR	12.86
498	Klingnau	AG	12.86
499	Küttigen	AG	12.86
500	Lostallo	GR	12.86
501	Münchwilen (AG)	AG	12.86
502	Schafisheim	AG	12.86
503	Schluein	GR	12.86
504	Wallbach	AG	12.86
505	Weinfelden	TG	12.86
506	Arbedo-Castione	TI	12.87
507	Dagmersellen	LU	12.88
508	Dierikon	LU	12.88
509	Klosters-Serneus	GR	12.88
510	Root	LU	12.88
511	Gais	AR	12.90
512	Hüttwilen	TG	12.91
513	Rickenbach (TG)	TG	12.91
514	Beinwil am See	AG	12.92
515	Flims	GR	12.92
516	Obersiggenthal	AG	12.92
517	Trimmis	GR	12.92
518	Cadenazzo	TI	12.94
519	Centovalli	TI	12.94
520	Ferpicloz	FR	12.94
521	Isone	TI	12.94
522	Morbio Inferiore	TI	12.94
523	Berneck	SG	12.95
524	Kesswil	TG	12.95
525	Lengwil	TG	12.95
526	Bister	VS	12.96
527	Bitsch	VS	12.96
528	Hérémence	VS	12.96
529	Salvan	VS	12.96
530	Simplon	VS	12.96
531	Trient	VS	12.96
532	Zwischbergen	VS	12.96
533	Bagnes	VS	12.97
534	Blitzingen	VS	12.97
535	Buttwil	AG	12.97
536	Eisten	VS	12.97
537	Ergisch	VS	12.97
538	Finhaut	VS	12.97
539	Gebenstorf	AG	12.97
540	Hirschthal	AG	12.97
541	Oberems	VS	12.97
542	Suhr	AG	12.97
543	Villmergen	AG	12.97
544	Bregaglia	GR	12.98
545	Churwalden	GR	12.98
546	Lantsch/Lenz	GR	12.98
547	Nebikon	LU	12.98
548	Samedan	GR	12.98
549	Eschlikon	TG	13.00
550	Gipf-Oberfrick	AG	13.03
551	Holziken	AG	13.03
